fichero,url,delta_sg,calificacion
20250203_28020958_IES EMPERATRIZ MARIA DE AUSTRIA_url_web_NTP.json,http://www.educa.madrid.org/ies.emperatrizmaria.madrid,-0.421667,9.86
20250203_28020961_IES CALDERON DE LA BARCA_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.calderondelabar.madrid/,-1.289757,9.57
20250203_28020961_IES CALDERON DE LA BARCA_url_web_NTP.json,http://www.educa.madrid.org/ies.calderondelabar.madrid,-0.809675,9.73
20250203_28021008_IES VISTA ALEGRE_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.vistaalegre.madrid/,-1.720802,9.43
20250203_28021008_IES VISTA ALEGRE_url_web_NTP.json,http://www.educa.madrid.org/ies.vistaalegre.madrid,0.296321,9.9
20250203_28021252_IES PACIFICO_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.pacifico.madrid/,-1.624321,9.46
20250203_28021252_IES PACIFICO_url_web_NTP.json,http://www.educa.madrid.org/ies.pacifico.madrid,64.809537,0
20250203_28021549_IES PALOMERAS VALLECAS_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.palomerasvallecas.madrid/,-1.610352,9.46
20250203_28021549_IES PALOMERAS VALLECAS_url_web_NTP.json,http://www.educa.madrid.org/ies.palomerasvallecas.madrid,-0.995087,9.67
20250203_28021550_IES GARCIA MORATO_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.garciamorato.madrid/,-1.176943,9.61
20250203_28021562_IES GRAN CAPITÁN_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.grancapitan.madrid/,-1.035877,9.65
20250203_28021562_IES GRAN CAPITÁN_url_web_NTP.json,http://www.educa.madrid.org/ies.grancapitan.madrid,-0.639789,9.79
20250203_28022207_IES CARMEN MARTIN GAITE_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.carmenmartingai.moralzarzal/,-1.035118,9.65
20250203_28022207_IES CARMEN MARTIN GAITE_url_web_NTP.json,http://www.educa.madrid.org/ies.carmenmartingai.moralzarzal,-0.527157,9.82
20250203_28022712_IES ESCUELA TECNICO PROFESIONAL DE LA SALUD DE LA COMUNIDAD DE MADRID_url_web_NTP.json,http://www.educa.madrid.org/ies.salud.madrid,-0.928757,9.69
20250203_28022724_IES CIUDAD ESCOLAR_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.ciudadescolar.madrid/,-1.14648,9.62
20250203_28022724_IES CIUDAD ESCOLAR_url_web_NTP.json,http://www.educa.madrid.org/ies.ciudadescolar.madrid,-0.988149,9.67
20250203_28023194_IES FELIPE TRIGO_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.felipetrigo.mostoles/,-1.141199,9.62
20250203_28023194_IES FELIPE TRIGO_url_web_NTP.json,http://www.educa.madrid.org/ies.felipetrigo.mostoles,-0.473344,9.84
20250203_28023212_IES JUAN GRIS_url_web_NTP.json,http://www.educa.madrid.org/ies.juangris.mostoles,-0.652426,9.78
20250203_28023327_IES CARMEN MARTIN GAITE_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.carmenmartingai.navalcarnero/,-1.294995,9.57
20250203_28023327_IES CARMEN MARTIN GAITE_url_web_NTP.json,http://www.educa.madrid.org/ies.carmenmartingai.navalcarnero,-0.711756,9.76
20250203_28023911_IES GERARDO DIEGO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.gerardodiego.pozuelodealarcon/,-0.696883,9.77
20250203_28023911_IES GERARDO DIEGO_url_web_NTP.json,http://www.educa.madrid.org/ies.gerardodiego.pozuelodealarcon,-0.653784,9.78
20250203_28024290_IES VEGA DEL JARAMA_url_aula_NTP.json,https://aulavirtual35.educa.madrid.org/ies.vegadeljarama.sanfernando/,-1.222883,9.59
20250203_28024290_IES VEGA DEL JARAMA_url_web_NTP.json,http://www.educa.madrid.org/ies.vegadeljarama.sanfernando,-1.161319,9.61
20250203_28024642_IES JOAN MIRO_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.joanmiro.sansebastian/,-1.398302,9.53
20250203_28024642_IES JOAN MIRO_url_web_NTP.json,http://www.educa.madrid.org/ies.joanmiro.sansebastian,-0.778156,9.74
20250203_28025014_IES ISAAC PERAL_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.isaacperal.torrejondeardoz/,-1.386341,9.54
20250203_28025014_IES ISAAC PERAL_url_web_NTP.json,http://www.educa.madrid.org/ies.isaacperal.torrejondeardoz,-1.686641,9.44
20250203_28025026_IES LAS VEREDILLAS_url_aula_NTP.json,https://aulavirtual34.educa.madrid.org/ies.lasveredillas.torrejondeardoz/,-0.938488,9.69
20250203_28025026_IES LAS VEREDILLAS_url_web_NTP.json,http://www.educa.madrid.org/ies.lasveredillas.torrejondeardoz,-0.892583,9.7
20250203_28025129_IES ALTO JARAMA_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.altojarama.torrelaguna/,-0.800979,9.73
20250203_28025129_IES ALTO JARAMA_url_web_NTP.json,http://www.educa.madrid.org/ies.altojarama.torrelaguna,-1.522331,9.49
20250203_28025658_IES NUESTRA SEÑORA DE LA VICTORIA DE LEPANTO_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.victoria.villarejo/,-0.917507,9.69
20250203_28025658_IES NUESTRA SEÑORA DE LA VICTORIA DE LEPANTO_url_web_NTP.json,http://www.educa.madrid.org/ies.victoria.villarejo,-0.42346,9.86
20250203_28025828_IES FELIPE II_url_aula_NTP.json,https://aulavirtual32.educa.madrid.org/ies.felipesegundo.madrid/,-0.912464,9.7
20250203_28025828_IES FELIPE II_url_web_NTP.json,http://www.educa.madrid.org/ies.felipesegundo.madrid,-1.324156,9.56
20250203_28026031_IES VICENTE ALEIXANDRE_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.vicentealeixand.pinto/,-1.23399,9.59
20250203_28026031_IES VICENTE ALEIXANDRE_url_web_NTP.json,http://www.educa.madrid.org/ies.vicentealeixand.pinto,64.703923,0
20250203_28026092_IES LOS CASTILLOS_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.loscastillos.alcorcon/,-1.41357,9.53
20250203_28026092_IES LOS CASTILLOS_url_web_NTP.json,http://www.educa.madrid.org/ies.loscastillos.alcorcon,-0.868078,9.71
20250203_28028301_IES ARQUITECTO PEDRO GUMIEL_url_aula_NTP.json,https://aulavirtual3.educa.madrid.org/ies.arquitectopedro.alcala/,-0.977213,9.67
20250203_28028301_IES ARQUITECTO PEDRO GUMIEL_url_web_NTP.json,http://www.educa.madrid.org/ies.arquitectopedro.alcala,-0.801882,9.73
20250203_28028350_IES MARIA MOLINER_url_aula_NTP.json,https://aulavirtual33.educa.madrid.org/ies.mariamoliner.coslada/,-1.521563,9.49
20250203_28028350_IES MARIA MOLINER_url_web_NTP.json,http://www.educa.madrid.org/ies.mariamoliner.coslada,0.697224,9.77
