fichero,url,compliance_Strict-Transport-Security,compliance_Content-Security-Policy,compliance_X-Content-Type-Options,compliance_X-Frame-Options,compliance_X-XSS-Protection,compliance_Referrer-Policy,compliance_Permissions-Policy,compliance_Cache-Control,compliance_Set-Cookie,compliance_X-Powered-By,compliance_Server,compliance_score,calificacion
20250627_28028374_IES DIONISIO AGUADO_url_web_webheader.json,http://www.educa.madrid.org/ies.dionisioaguado.fuenlabrada,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,OK_Server,0.36,0.36
20250627_28028404_IES BUTARQUE_url_aula_webheader.json,https://aulavirtual34.educa.madrid.org/ies.butarque.leganes/,KO_Strict-Transport-Security,KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,KO_HttpOnly",OK_X-Powered-By,OK_Server,0.18,0.18
20250627_28028404_IES BUTARQUE_url_web_webheader.json,http://www.educa.madrid.org/ies.butarque.leganes,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028428_IES AVENIDA DE LOS TOREROS_url_aula_webheader.json,https://aulavirtual33.educa.madrid.org/ies.avenidadelostor.madrid/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028428_IES AVENIDA DE LOS TOREROS_url_web_webheader.json,http://www.educa.madrid.org/ies.avenidadelostor.madrid,"OK_max_age,KO_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",KO_X-Powered-By,KO_Server,0.0,0.0
20250627_28028431_IES MARIANO JOSE DE LARRA_url_aula_webheader.json,https://aulavirtual32.educa.madrid.org/ies.larra.madrid/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028431_IES MARIANO JOSE DE LARRA_url_web_webheader.json,http://www.educa.madrid.org/ies.larra.madrid,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028453_IES LA ESTRELLA_url_aula_webheader.json,https://aulavirtual33.educa.madrid.org/ies.laestrella.madrid/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028453_IES LA ESTRELLA_url_web_webheader.json,http://www.educa.madrid.org/ies.laestrella.madrid,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028465_IES SAN JUAN BAUTISTA_url_aula_webheader.json,https://aulavirtual33.educa.madrid.org/ies.sanjuanbautista.madrid/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028465_IES SAN JUAN BAUTISTA_url_web_webheader.json,http://www.educa.madrid.org/ies.sanjuanbautista.madrid,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028477_IES JAIME VERA_url_aula_webheader.json,https://aulavirtual3.educa.madrid.org/ies.jaimevera.madrid/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028477_IES JAIME VERA_url_web_webheader.json,http://www.educa.madrid.org/ies.jaimevera.madrid,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,OK_Server,0.36,0.36
20250627_28028568_IES MANUEL DE FALLA_url_aula_webheader.json,https://aulavirtual35.educa.madrid.org/ies.manueldefalla.mostoles/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028568_IES MANUEL DE FALLA_url_web_webheader.json,http://www.educa.madrid.org/ies.manueldefalla.mostoles,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,OK_nosniff,OK_SAMEORIGIN,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,KO_Cache-Control,"KO_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
20250627_28028571_IES LAS ROZAS I_url_aula_webheader.json,https://aulavirtual32.educa.madrid.org/ies.uno.lasrozas/,"OK_max_age,OK_includeSubDomains",KO_Content-Security-Policy,KO_nosniff,KO_X-Frame-Options,KO_X-XSS-Protection,KO_Referrer-Policy,KO_Permissions-Policy,OK_Cache-Control,"OK_Secure,OK_HttpOnly",OK_X-Powered-By,KO_Server,0.36,0.36
