fichero,url,dias_restantes,emisor,algoritmo_firma,algoritmo_clave,longitud_clave,calidad,calificacion
20250216_28018423_IES INSTITUTO POLITECNICO N.1 DEL EJERCITO_url_web_Certificado.json,www.educa.madrid.org/ies.numerounoejercito.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018435_IES EMILIO CASTELAR_url_aula_Certificado.json,aulavirtual35.educa.madrid.org/ies.emiliocastelar.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018435_IES EMILIO CASTELAR_url_web_Certificado.json,www.educa.madrid.org/ies.emiliocastelar.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018460_IES ARCIPRESTE DE HITA_url_aula_Certificado.json,aulavirtual32.educa.madrid.org/ies.arciprestedehita.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018460_IES ARCIPRESTE DE HITA_url_web_Certificado.json,www.educa.madrid.org/ies.arciprestedehita.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_aula_Certificado.json,aulavirtual3.educa.madrid.org/ies.sancristobal.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018472_IES SAN CRISTOBAL DE LOS ANGELES_url_web_Certificado.json,www.educa.madrid.org/ies.sancristobal.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.rodriguezdevalcarcel.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018484_IES CARLOS MARIA RODRIGUEZ DE VALCARCEL_url_web_Certificado.json,www.educa.madrid.org/ies.rodriguezdevalcarcel.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018903_IES JOAQUÍN TURINA_url_aula_Certificado.json,aulavirtual33.educa.madrid.org/ies.joaquinturina.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28018903_IES JOAQUÍN TURINA_url_web_Certificado.json,www.educa.madrid.org/ies.joaquinturina.madrid,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
20250216_28019312_IES EL LAGO_url_aula_Certificado.json,aulavirtual3.educa.madrid.org/ies.ellago.madrid/,292,"CN=GlobalSign RSA OV SSL CA 2018,O=GlobalSign nv-sa,C=BE",sha256,RSA,2048,Aceptable,5
