instituto,media_ntp,media_certificado,media_lighthouse,media_cabecera,media_general
IES BENJAMIN RUA,9.79,4.84,7.78,3.6,6.33
IES LUIS DE GONGORA,9.79,4.84,7.77,3.6,6.32
IES AL-SATT,9.81,4.84,7.89,3.6,6.35
IES ALDEBARAN,9.7,4.84,7.83,3.6,6.31
IES GUSTAVO ADOLFO BECQUER,9.68,4.84,7.74,3.6,6.29
IES JOSÉ HIERRO,9.8,4.84,7.92,3.6,6.35
IES DE GUADARRAMA,9.79,4.84,7.76,3.6,6.32
IES SAN NICASIO,9.81,4.84,6.76,2.7,5.86
IES ITURRALDE,9.79,4.84,7.69,3.6,6.31
IES VILLA DE VALLECAS,9.8,4.84,7.85,3.6,6.34
IES SAN JUAN DE LA CRUZ,9.79,4.84,7.79,3.6,6.33
IES EL BURGO-IGNACIO ECHEVERRÍA,9.8,4.84,7.59,3.6,6.3
IES JULIO PALACIOS,9.78,4.84,7.82,3.6,6.33
IES AGORA,9.79,4.84,7.71,3.6,6.31
IES EL PINAR,9.79,4.84,7.85,3.6,6.34
IES PROFESOR MAXIMO TRUEBA,9.8,4.84,7.9,3.6,6.35
IES DE LA CABRERA,9.79,4.84,7.76,3.6,6.32
IES ANTONIO GAUDI,9.81,4.84,7.93,3.6,6.35
IES ALTAIR,9.8,4.84,7.68,3.6,6.31
IES JUANA DE CASTILLA,9.79,4.84,7.85,3.6,6.34
IES EL CAÑAVERAL,9.78,4.84,7.63,3.6,6.3
IES PROFESOR ANGEL YSERN,9.78,4.84,7.77,3.6,6.32
IES LA LAGUNA,9.8,4.84,7.89,3.6,6.34
IES LAS LAGUNAS,9.78,4.84,7.53,3.6,6.29
IES PALAS ATENEA,9.75,4.84,7.64,3.6,6.3
IES CALATALIFA,9.8,4.84,7.73,3.6,6.32
IES LAS CANTERAS,9.79,4.84,7.6,3.6,6.3
IES SATAFI,9.78,4.84,7.72,3.6,6.31
IES IGNACIO ELLACURIA,9.79,4.82,7.8,3.6,6.33
IES MARIA GUERRERO,9.78,4.84,7.75,3.6,6.32
IES PABLO NERUDA,9.8,4.84,7.86,3.6,6.34
IES JOAQUIN ARAUJO,9.8,4.84,7.87,3.6,6.34
IES DOLORES IBARRURI,9.79,4.84,7.61,3.6,6.3
IES ANTONIO LOPEZ GARCÍA,9.79,4.84,7.85,3.6,6.34
IES MARGARITA SALAS,9.79,4.84,7.88,3.6,6.34
IES ANTONIO GALA,9.8,4.84,7.86,3.6,6.34
IES MIGUEL HERNÁNDEZ,9.8,4.84,7.85,3.6,6.34
IES PINTOR ANTONIO LOPEZ,9.8,4.84,7.82,3.6,6.33
IES ITACA,9.79,4.84,7.91,3.6,6.35
IES LUIS BRAILLE,9.79,4.84,7.86,3.6,6.34
IES AFRICA,9.79,4.84,6.45,3.6,6.13
IES INFANTA ELENA,9.78,4.84,7.67,3.55,6.29
IES ICARO,9.81,4.84,7.86,3.6,6.34
IES SANTA EUGENIA,9.8,4.84,7.89,3.6,6.34
IES CLARA DEL REY,9.78,4.84,7.69,3.6,6.31
IES EUROPA,9.8,4.84,7.81,3.6,6.33
IES ANTONIO DE NEBRIJA,9.79,4.84,7.81,3.6,6.33
IES VALLE INCLAN,9.78,4.84,7.71,3.6,6.31
IES PABLO PICASSO,9.79,4.84,7.92,3.6,6.35
IES JUAN DE MAIRENA,9.78,4.82,7.8,3.6,6.32
IES CARMEN CONDE,9.79,4.84,6.54,3.6,6.14
IES LUIS GARCIA BERLANGA,9.79,4.84,7.84,3.6,6.34
IES RAYUELA,9.78,4.84,7.8,3.6,6.32
IES EL OLIVO,9.79,4.84,7.83,3.6,6.33
IES DOCTOR MARAÑON,9.79,4.84,7.88,3.55,6.32
IES DUQUE DE RIVAS,9.78,4.84,7.81,3.55,6.31
IES ANSELMO LORENZO,9.79,4.84,7.75,3.55,6.3
IES FRANCISCO DE QUEVEDO,9.79,4.84,7.83,3.55,6.32
IES LOS OLIVOS,9.78,4.84,7.65,3.55,6.29
IES VILLAREJO DE SALVANÉS,9.8,4.84,7.91,3.55,6.33
IES LAZARO CARDENAS,9.77,4.84,7.8,3.55,6.31
IES FRANCISCO DE GOYA,9.7,4.84,7.79,3.55,6.29
IES PEDRO DE TOLOSA,9.79,4.84,7.84,3.6,6.34
IES SENDA GALIANA,9.8,4.84,7.84,3.6,6.34
IES HUMANES,9.79,4.84,7.85,3.6,6.34
IES AVALON,9.8,4.84,7.82,3.6,6.33
IES VALMAYOR,9.79,4.84,7.83,3.6,6.33
IES MADRID-SUR,9.8,4.84,7.7,3.6,6.32
IES ATENEA,9.79,4.84,7.79,3.6,6.33
IES ALPEDRETE,9.81,4.84,7.64,3.55,6.29
IES FRANCISCO AYALA,9.77,4.84,7.9,3.6,6.34
IES IGNACIO ALDECOA,9.79,4.84,7.88,3.6,6.34
IES MAESTRO JUAN MARIA LEONET,9.79,4.84,7.83,3.6,6.33
IES VEGA DEL TAJUÑA,9.79,4.84,7.42,3.6,6.27
IES LAS ENCINAS,9.8,4.84,7.86,3.6,6.34
IES GRIÑON,9.8,4.84,7.79,3.6,6.33
IES SAN AGUSTIN DE GUADALIX,9.76,4.84,7.93,3.6,6.34
IES CAÑADA REAL,9.8,4.84,7.77,3.6,6.33
IES EL ESCORIAL,9.79,4.84,7.87,3.6,6.34
IES GREGORIO PECES-BARBA,9.78,4.84,7.87,3.6,6.34
IES PRINCIPE FELIPE,9.79,4.84,7.75,3.6,6.32
IES PUERTA BONITA,9.8,4.84,7.88,3.6,6.34
IES HOTEL ESCUELA DE LA COMUNIDAD DE MADRID,9.79,4.84,7.86,3.6,6.34
