instituto,media_ntp,media_certificado,media_lighthouse,media_cabecera,media_general
IES LAS CANTERAS,9.31,4.84,6.36,3.55,5.98
IES SATAFI,8.86,4.84,6.96,0.0,4.71
IES MARIA GUERRERO,9.44,4.84,6.77,3.6,6.09
IES PABLO NERUDA,8.77,4.84,7.58,0.05,4.8
IES JOAQUIN ARAUJO,8.87,4.84,7.24,0.05,4.77
IES DOLORES IBARRURI,9.85,4.84,7.71,3.6,6.33
IES ANTONIO LOPEZ GARCÍA,8.87,4.84,7.89,0.0,4.85
IES MARGARITA SALAS,9.18,4.84,6.74,3.6,6.02
IES ANTONIO GALA,8.51,4.84,7.09,0.0,4.64
IES MIGUEL HERNÁNDEZ,9.24,4.84,6.93,3.6,6.06
IES PINTOR ANTONIO LOPEZ,9.86,4.84,7.71,3.6,6.33
IES ITACA,8.98,4.84,4.65,1.69,4.99
IES LUIS BRAILLE,8.9,4.84,6.25,3.6,5.87
IES AFRICA,9.85,4.84,7.71,3.6,6.33
IES INFANTA ELENA,8.87,4.84,7.63,0.05,4.83
IES ICARO,8.89,4.84,7.51,0.05,4.82
IES SANTA EUGENIA,8.91,4.84,7.6,0.05,4.84
IES CLARA DEL REY,8.97,4.84,7.56,0.64,5.05
IES EUROPA,9.21,4.84,6.79,3.6,6.03
IES VALLE INCLAN,9.05,4.84,6.05,3.6,5.88
IES FEDERICA MONTSENY,9.81,5.0,5.38,3.6,6.02
IES PABLO PICASSO,9.61,4.84,7.71,3.6,6.27
IES CARMEN CONDE,8.98,4.84,6.14,3.6,5.88
IES LUIS GARCIA BERLANGA,9.11,4.84,7.2,1.8,5.44
IES RAYUELA,9.86,4.84,7.71,3.6,6.33
IES EL OLIVO,8.91,4.84,8.25,0.0,4.92
IES ATENEA,9.12,4.85,6.19,1.83,5.3
IES DOCTOR MARAÑON,8.69,4.84,7.7,0.05,4.8
IES DUQUE DE RIVAS,8.87,4.84,7.29,0.05,4.78
IES ANSELMO LORENZO,8.79,4.84,7.86,0.05,4.85
IES FRANCISCO DE QUEVEDO,9.3,4.84,6.94,3.55,6.06
IES LOS OLIVOS,9.84,4.84,7.44,3.55,6.27
IES VILLAREJO DE SALVANÉS,9.13,4.84,6.49,3.49,5.93
IES LAZARO CARDENAS,8.86,4.84,7.69,0.05,4.84
IES FRANCISCO DE GOYA,8.89,4.84,7.57,0.05,4.83
IES PEDRO DE TOLOSA,9.86,4.84,7.71,3.55,6.31
IES SENDA GALIANA,9.35,4.84,6.99,3.55,6.08
IES UTOPIA,9.85,5.0,5.38,3.6,6.03
IES SEFARAD,9.84,5.0,5.38,3.6,6.03
IES HUMANES,8.89,4.84,7.58,0.0,4.81
IES AVALON,9.22,4.84,6.91,3.55,6.03
IES VALMAYOR,8.94,4.84,6.92,3.6,5.99
IES MADRID-SUR,9.26,4.84,5.35,3.55,5.81
IES ALPEDRETE,9.34,4.84,6.4,3.55,5.99
IES FRANCISCO AYALA,9.3,4.84,6.02,3.58,5.93
IES IGNACIO ALDECOA,8.87,4.84,6.58,3.6,5.92
IES MAESTRO JUAN MARIA LEONET,8.89,4.84,7.66,0.0,4.82
IES VEGA DEL TAJUÑA,8.87,4.84,7.72,0.0,4.83
IES LAS ENCINAS,8.84,4.84,7.17,0.0,4.74
IES GRIÑON,9.42,4.84,6.6,3.6,6.06
IES SAN AGUSTIN DE GUADALIX,8.34,4.84,7.14,0.0,4.61
IES CAÑADA REAL,8.79,4.84,7.62,0.0,4.79
IES EL ESCORIAL,9.84,4.84,7.71,3.6,6.33
IES GREGORIO PECES-BARBA,9.38,4.78,5.71,2.7,5.58
IES PRINCIPE FELIPE,9.83,5.0,8.56,1.85,5.89
IES PUERTA BONITA,9.85,4.84,7.71,3.6,6.33
IES HOTEL ESCUELA DE LA COMUNIDAD DE MADRID,8.86,4.84,7.71,0.0,4.82
IES FEDERICO GARCIA LORCA,9.86,4.84,7.71,3.6,6.33
IES CENTRO DE CAPACITACION AGRARIA,9.24,4.84,6.23,3.55,5.94
IES GABRIELA MISTRAL,8.89,4.84,7.1,0.0,4.74
IES ALFONSO MORENO,8.87,4.84,7.84,0.05,4.86
IES GABRIEL CISNEROS,8.88,4.84,6.57,3.6,5.92
IES SEVILLA LA NUEVA,9.86,4.84,7.7,3.6,6.33
IES SAPERE AUDE,8.87,4.84,7.64,0.0,4.82
IES MIGUEL DE CERVANTES,8.97,4.83,6.89,1.21,5.15
IES PROFESOR JULIO PEREZ,9.3,4.84,6.71,3.6,6.04
IES LAS AMERICAS,8.88,4.84,7.24,0.0,4.76
IES ANA MARIA MATUTE,9.08,4.84,7.1,4.39,6.33
IES GASPAR SANZ,8.86,4.84,7.3,0.0,4.76
IES ADOLFO SUAREZ,8.87,4.84,7.45,0.0,4.79
IES RENACIMIENTO,8.88,4.84,6.72,0.0,4.68
IES SIERRA DE GUADARRAMA,8.92,4.95,7.7,0.0,4.87
IES NUMANCIA,9.32,4.84,6.4,3.6,6.0
IES ESCUELA DE HOSTELERIA Y TURISMO,9.74,4.84,7.7,3.6,6.3
IES JOSE SARAMAGO,9.11,4.84,6.65,1.8,5.36
IES ARQUITECTO VENTURA RODRIGUEZ,8.45,4.84,7.29,0.11,4.69
IES BARRIO LORANCA,9.11,4.84,5.76,3.6,5.85
IES EL ALAMO,9.87,4.84,7.71,3.6,6.34
IES SABINO FERNANDEZ CAMPO,9.18,4.84,6.55,3.6,5.99
IES LAZARO CARRETER,9.26,4.84,5.46,3.49,5.81
IES DON PELAYO,8.45,4.84,6.95,0.95,4.94
IES SANTIAGO RUSIÑOL,9.35,4.84,6.37,3.6,6.01
IES MAESTRO MATIAS BRAVO,9.34,4.84,5.86,3.6,5.93
IES FRANCISCO UMBRAL,8.69,4.84,5.57,3.49,5.68
IES VILLAVERDE,8.88,4.84,7.25,0.0,4.76
IES ANTARES,8.85,4.84,7.81,0.0,4.84
IES GONZALO ANES,8.77,4.84,7.12,0.05,4.73
IES CAMPO REAL,9.24,4.84,6.62,3.6,6.01
IES FERNANDO FERNAN GOMEZ,9.3,4.84,6.46,3.55,5.99
IES JIMENA MENENDEZ PIDAL,9.15,4.84,6.98,3.6,6.05
IES NICOLAS COPERNICO,9.27,4.84,4.66,3.6,5.73
IES CORTES DE CADIZ,9.4,4.84,6.91,3.49,6.06
IES LA SENDA,8.85,4.84,7.9,0.0,4.85
IES PEDRO DUQUE,9.38,4.84,6.25,3.49,5.96
IES MANUEL FRAGA IRIBARNE,9.36,4.84,6.29,3.55,5.98
IES GONZALO CHACON,9.5,4.84,6.37,3.55,6.02
IES JOSE LUIS LOPEZ ARANGUREN,9.45,4.84,7.52,4.5,6.52
IES NEIL ARMSTRONG,8.89,4.84,7.8,0.0,4.84
IES PEDRO SALINAS,8.9,4.84,7.12,0.0,4.74
IES MENENDEZ PELAYO,9.28,4.84,6.41,4.34,6.25
IES RAFAEL FRÜHBECK DE BURGOS,9.86,4.84,7.71,3.6,6.33
IES SOR JUANA DE LA CRUZ,9.27,4.84,5.95,3.6,5.92
IES JOSE GARCIA NIETO,8.89,4.84,7.46,0.0,4.79
IES ALFREDO KRAUS,9.18,4.84,6.91,3.49,6.01
IES JUAN RAMON JIMÉNEZ,8.88,4.84,7.69,0.0,4.83
IES MARIE CURIE,8.99,4.84,4.74,3.55,5.65
IES MARIA RODRIGO,8.87,4.84,7.55,0.0,4.8
IES MONTSERRAT CABALLE,9.3,4.84,6.49,3.6,6.01
IES MALALA YOUSAFZAI,7.83,4.84,6.61,0.95,4.73
IES SIMONE VEIL,8.87,4.84,7.55,0.0,4.8
IES GLORIA FUERTES,8.9,4.84,7.51,0.0,4.8
IES ELISA SORIANO FISCHER,8.75,4.84,7.23,0.0,4.72
IES ANTONIO FRAGUAS FORGES,9.82,4.84,7.32,3.6,6.26
IES JANE GOODALL,9.48,4.84,6.85,2.33,5.66
IES ANA FRANK,8.91,4.84,8.61,0.0,4.97
IES ADA BYRON,9.84,4.84,7.7,3.6,6.33
IES FRANCISCA DE PEDRAZA,9.27,4.84,6.91,3.6,6.06
IES JUAN BAUTISTA MONEGRO,8.86,4.84,7.69,0.0,4.82
IES JOSE PEDRO PEREZ LLORCA,9.54,4.84,6.61,3.6,6.09
IES BLANCA FERNANDEZ OCHOA,8.88,4.84,7.84,0.0,4.85
IES TORCUATO FERNANDEZ MIRANDA,9.4,4.84,5.66,3.6,5.91
IES CENTRO INTEGRAL DE FORMACION PROFESIONAL A DISTANCIA IGNACIO ELLACURIA,8.86,4.84,6.88,0.0,4.7
IES ISIDRA DE GUZMAN,9.19,4.84,7.05,3.6,6.07
IES MARIA GOYRI GOYRI,8.69,4.84,7.55,0.0,4.76
IES  EL BOALO,9.27,4.84,6.8,3.6,6.05
IES HUMANEJOS,9.08,1.24,1.6,1.22,3.31
IES GARCIA MORATO,9.62,4.23,6.94,4.42,6.26
IES ANTONIO DE NEBRIJA,8.73,4.23,8.15,0.05,4.69
IES LA CAÑADA (CEPA COSLADA),9.47,4.81,7.17,4.5,6.46
IES ALBENIZ,9.83,4.81,0.0,2.7,4.85
IES SEFARAD (NO EXISTE),9.61,4.81,5.38,3.6,5.91
IES OCTAVIO PAZ (NO HAY AULA),9.69,4.81,5.55,4.42,6.24
